id,Latitude,Longitude
1,44.11447,69.58409
2,44.12334,69.33896
3,44.12482,69.29364
4,44.30248,69.59541
5,44.25516,69.52158
6,44.28159,69.52193
7,44.22749,69.38849
8,44.27502,69.14758
9,44.2679,69.2183
10,44.22732,69.16131
11,42.36318,70.59049
12,42.36391,70.59714
13,42.34995,70.65272
14,42.37513,70.61972
15,42.35607,70.57397
16,42.83027,71.97576
17,42.8121,71.99882
18,42.80555,71.99899
19,42.80366,71.94818
20,42.80599,71.96054
21,42.82205,71.94844
22,42.8172,71.91651
23,42.82601,71.93608
24,42.82998,71.89111
25,42.82274,71.92604
26,42.82973,71.91969
27,42.82028,71.9117
28,42.20164,71.55956
29,42.20634,71.51218
30,42.19744,71.489
31,42.18778,71.45295
32,42.22135,71.38429
33,42.23113,71.34755
34,42.20024,71.40317
35,42.2066,71.39116
36,42.21245,71.34103
37,42.22808,71.2837
38,42.23505,71.22335
39,42.21064,71.26455
40,42.26707,71.16464
41,42.29844,71.14679
42,42.31304,71.03195
43,42.29932,71.12345
44,42.2644,70.98663
45,42.2964,70.99144
46,42.28244,70.97771
47,42.29818,71.04843
48,42.30631,70.96398
49,41.86705,70.11962
50,41.87044,70.12855
51,41.86756,70.14648
52,41.8781,70.31575
53,41.92946,70.19765
54,41.89088,70.19765
55,41.92206,70.2258
56,42.1251,70.45547
57,42.11161,70.43882
58,42.09492,70.41462
59,42.07454,70.4081
60,42.09225,70.43264
61,42.07403,70.38303
62,42.0883,70.5262
63,42.1074,70.49496
64,42.12166,70.46886
65,42.15883,70.53478
66,42.28098,70.77919
67,42.31755,70.84013
68,42.32593,70.80717
69,42.3093,70.78382
70,42.31197,70.70434
71,42.31108,70.65628
72,42.36986,70.80829
73,42.34601,70.80987
74,42.34278,70.81781
75,42.36352,70.82201
76,42.36935,70.7815
77,42.33434,70.71833
78,42.33028,70.68743
79,43.51892,69.44972
80,43.52365,69.4371
81,43.49264,69.4258
82,43.42335,69.61423
83,43.49624,69.68282
84,43.50678,69.65643
85,43.51128,69.63992
86,43.54076,69.54966
87,43.54428,69.53882
88,43.13145,71.04275
