id,Latitude,Longitude
1,44.98048,66.34012
2,45.02539,68.2382
3,44.12642,71.02285
4,43.00759,72.2846
5,42.7726,72.17406
6,42.82749,71.89991
7,42.81871,71.72505
8,42.76682,71.60467
9,42.76264,71.58078
10,42.78822,71.51005
11,42.80359,71.42404
12,42.75883,71.27505
13,42.68687,71.17065
14,42.63124,71.16872
15,42.57693,71.03511
16,42.31105,70.87422
17,41.98988,70.28527
18,41.82637,70.13705
19,41.71182,69.92983
20,41.70255,69.77485
21,41.67045,69.64081
22,41.57203,69.48322
23,41.4839,69.35533
24,41.47095,69.25537
25,41.37486,69.06089
26,42.02486,66.51354
