Node_Id,Longitude,Latitude
1,66.34012,44.98048
2,68.2382,45.02539
3,71.02285,44.12642
4,72.2846,43.00759
5,72.17406,42.7726
6,71.89991,42.82749
7,71.72505,42.81871
8,71.60467,42.76682
9,71.58078,42.76264
10,71.51005,42.78822
11,71.42404,42.80359
12,71.27505,42.75883
13,71.17065,42.68687
14,71.16872,42.63124
15,71.03511,42.57693
16,70.87422,42.31105
17,70.28527,41.98988
18,70.13705,41.82637
19,69.92983,41.71182
20,69.77485,41.70255
21,69.64081,41.67045
22,69.48322,41.57203
23,69.35533,41.4839
24,69.25537,41.47095
25,69.06089,41.37486
26,66.51354,42.02486
