ID,X_coord,Y_coord
1,70.85851,41.45867
2,70.75311,42.82336
3,71.40068,44.85903
4,71.75511,42.19874
5,67.2951,43.19968
6,66.97956,41.63833
7,67.16582,41.10812
8,69.02341,41.41519
9,67.63115,44.52482
10,71.30027,44.62198
11,71.58402,43.02781
12,68.70923,41.4074
13,68.13057,44.70461
14,69.45113,42.99586
15,69.23465,42.68957
16,71.88632,43.46298
17,69.72915,43.11869
18,70.30696,44.34953
19,67.65669,44.00413
20,71.17314,42.9084
21,71.54011,43.24498
22,70.86969,41.92625
23,67.94893,42.6337
24,69.45436,43.5315
25,71.7466,44.37376
26,67.04867,43.07703
27,71.87397,41.44126
28,71.62592,41.53534
29,69.9018,44.39063
30,70.02194,43.4625
31,68.17911,41.96182
32,71.6447,41.58592
33,69.19425,42.82992
34,67.2965,43.11729
35,70.35771,44.50774
36,69.85941,41.97702
37,67.62592,43.43175
38,67.07322,42.96127
39,70.20223,42.87414
40,72.06372,43.43847
41,72.00671,43.74046
42,68.16554,43.20429
43,69.86715,41.47068
44,68.30635,41.65445
45,67.37362,41.71616
46,71.40478,41.99544
47,69.15411,43.58156
48,67.7911,44.4387
49,71.66391,43.35615
50,69.80026,41.22433
51,68.20305,43.65159
52,68.96279,44.46804
53,69.89313,42.23053
54,70.3574,42.74916
55,66.74416,42.41483
56,66.71845,41.3366
57,67.4655,44.65691
58,71.8817,44.3001
59,68.94377,42.87272
60,68.27248,44.14987
61,69.0073,43.89948
62,71.96159,42.05687
63,69.24446,42.85733
64,67.52995,43.42598
65,71.52414,44.33295
66,68.72162,44.3622
67,70.02497,44.77472
68,68.53061,44.41344
69,69.93535,44.6457
70,70.12597,41.49208
71,69.07628,41.10422
72,71.59677,41.7204
73,67.09046,43.50242
74,66.94645,43.83992
75,68.2888,43.97858
76,70.18316,41.44892
77,71.59638,43.41328
78,68.21461,42.05053
79,68.02426,43.34119
80,70.09282,42.75129
81,66.88212,43.04512
82,71.93285,43.66398
83,70.22643,44.9738
84,67.38538,41.36913
85,67.59373,41.16745
86,70.21107,44.66832
87,68.24562,41.96045
88,71.44745,41.30841
89,69.54048,41.57829
90,69.57203,43.80242
91,70.16701,41.56738
92,71.99279,44.60398
93,66.62135,44.70423
94,69.69984,41.83624
95,71.42693,43.08454
96,68.9266,42.22866
97,70.12049,42.61999
98,66.59416,42.44276
99,71.89949,41.50293
100,66.80599,43.43152
101,67.24195,44.89998
102,68.48224,43.17627
103,71.97745,44.36204
104,70.0872,43.23351
105,67.78403,44.41146
106,70.50918,41.90731
107,71.32839,43.83482
108,67.15013,43.5972
109,70.36948,42.81021
110,71.22539,43.26793
111,71.8789,43.8204
112,71.27169,41.29521
113,67.8953,44.70026
114,71.00563,41.61206
115,69.9729,41.7246
116,69.07988,42.07093
117,68.35355,41.7065
118,70.29719,44.9274
119,68.01234,43.59235
120,68.4094,42.68587
121,71.87506,43.64192
122,71.22339,42.66232
123,69.54911,43.92243
124,69.67883,42.21661
125,69.4616,41.25897
126,71.12768,41.36146
127,67.89444,42.84354
128,67.92435,42.04779
129,70.21264,41.96942
130,67.3483,43.01358
131,67.64543,43.36721
132,71.41879,44.01763
133,67.84127,43.94765
134,66.80362,41.49938
135,69.4149,42.96227
136,70.36349,42.78275
137,70.00949,42.78248
138,68.33258,44.51071
139,70.30299,43.69817
140,71.73914,41.87467
141,67.11981,41.09607
142,67.95002,41.30158
143,67.77741,43.46176
144,68.81031,42.61727
145,68.21684,44.40171
146,71.06713,43.64523
147,68.20056,41.35318
148,70.00944,44.66179
149,68.27507,44.01747
150,67.71077,43.84541
151,70.66092,44.29823
152,66.61556,44.66621
153,67.40349,43.29547
154,71.12531,43.95797
155,71.65645,43.71791
156,67.02928,43.01814
157,67.85028,44.41779
158,67.18547,43.88763
