ID,X_coord,Y_coord
1,81.66498,43.18218
2,76.5905,44.99009
3,74.68165,43.58729
4,74.20044,45.20093
5,81.46223,45.686
6,80.75496,45.2111
7,72.46755,45.26775
8,75.64592,42.51351
9,72.91071,43.07083
10,79.09405,46.14271
11,78.41153,45.06348
12,80.67335,44.60462
13,77.21703,46.84126
14,78.9854,46.82458
15,80.67018,43.51394
16,73.24966,44.53684
17,76.78215,44.56586
18,82.42985,45.88397
19,75.08871,44.61541
20,74.09378,45.59973
21,72.77529,43.51244
22,80.6586,43.56903
23,76.16034,43.16746
24,77.86475,42.50545
25,74.4546,46.42251
26,81.6813,45.08433
27,79.14904,42.66611
28,78.33582,42.43836
29,74.22204,44.18131
30,82.60552,45.01989
31,81.19283,43.33827
32,77.6867,44.91192
33,74.88732,44.72241
34,73.98696,46.81719
35,79.32747,45.05448
36,73.72876,46.54492
37,73.49453,43.7287
38,77.32116,42.22239
39,76.76495,45.38755
40,77.75127,46.10914
41,78.68022,46.39231
42,74.85062,44.63948
43,72.24621,45.40548
44,77.28232,43.0841
45,77.84349,46.93095
46,74.85125,45.09658
47,74.37364,46.63397
48,79.36041,46.76244
49,76.50493,43.11794
50,80.26284,43.87199
51,74.42088,43.72911
52,76.82074,42.25186
53,74.74563,42.57313
54,81.97202,45.4201
55,74.45597,46.66627
56,80.20829,46.17546
57,73.22704,45.7454
58,74.82377,44.19356
