ID,X_coord,Y_coord
1,72.77511,42.66728
2,72.88459,43.11204
3,73.95202,43.61154
4,74.42415,44.22737
5,76.04582,44.28895
6,76.82587,44.48054
7,79.79551,44.6516
8,80.34291,44.48054
9,80.39765,44.24105
10,80.36344,44.08367
11,80.62345,43.67997
12,80.74662,43.48153
13,80.82189,43.13257
14,80.65767,43.14625
15,80.40449,43.02993
16,80.08974,42.61254
17,79.20021,42.75623
18,78.69387,42.81097
19,78.4886,42.87939
20,78.09173,42.87255
21,76.77797,42.95466
22,75.84739,42.94782
23,75.7516,42.79728
24,75.64896,42.75623
25,74.69785,43.0094
26,74.26677,43.22152
27,73.59621,43.06414
28,73.52778,42.77676
29,73.43199,42.61254
30,73.30198,42.49621
