Name,X_coord,Y_coord
RRRCN53,75.462,43.2492
X121,75.72414,43.2491
X173,75.70642,43.2275
X189,75.80159,43.27154
X190,78.82403,43.02346
X133,78.78921,43.04027
X155,78.88231,43.11073
X187,78.62949,43.54863
X82,78.63242,43.49165
X48,78.59223,43.42484
X100,78.66971,43.45401
X183,78.94923,43.33521
X179,79.07886,43.35389
X159,79.17731,43.34278
X163,79.15491,43.37659
X138,79.183,43.44934
X116,79.21414,43.49442
X171,79.23072,43.52679
X104,79.29576,43.53344
X158,79.62262,44.18085
X154,79.55775,44.2089
X166,79.47208,44.23601
X90,77.02784,43.96072
X185,77.00528,43.98986
X79,76.99683,44.06123
X174,76.3816,43.7236
X182,76.34909,43.84497
X47,75.53527,43.8017
X194,75.91332,43.86725
X122,76.06234,43.8988
RRRCN84,78.9704,43.2683
