Name,Descriptio,X_coord,Y_coord
X37,"2009-05-08T00:00:00, 0.",52.1759,44.16159
X146,"13.07.2015, 0.",54.43117,42.77956
X9,"03.05.2012, 0.",54.6108,42.9462
X8,"27.04.2011, 0.",54.86598,43.09372
X147,"20.05.2015, 0.",54.86799,43.18888
X6,"25.04.2011, 0.",54.71019,43.2209
X7,"25.04.2011, 0.",54.62184,43.27074
X139,"2009-05-26T00:00:00, 0.",54.0815,43.58952
X140,"2009-05-25T00:00:00, 0.",53.29265,43.51766
X50,"2008-04-28T15:10:00, 0.",53.60154,43.56381
X26,"02.09.2015, 0.",53.6164,43.30659
X98,"2012-05-01T00:00:00, 0.",54.03578,42.81888
X39,"2012-06-02T00:00:00, 0.",53.51227,42.72505
X4,"02.05.2008, 0.",53.14261,42.125
X148,"11.05.2012, 0.",52.97365,42.77767
X141,"2009-05-17T00:00:00, 0.",52.61016,42.82681
X2,"15.05.2007, 0.",52.71248,42.99132
X83,"2005-04-20T00:00:00, 0.",51.69815,43.63039
X143,"13.06.2019, 0.",51.38744,44.25396
X144,"05.09.2018, 0.",51.50957,44.38519
RRRCN32,"18.04.2004, 0.",53.9687,43.0791
RRRCN33,"20.04.2003, 0.",52.1727,44.2964
RRRCN34,"23.04.2004, 0.",52.1052,43.9463
RRRCN35,"01.05.2004, 0.",51.4021,44.5018
RRRCN36,"05.05.2004, 0.",51.5224,44.4778
RRRCN42,"18.04.2003, 0.",52.0721,44.2555
RRRCN54,"15.04.2004, 0.",53.4219,43.3348
RRRCN66,"15.04.2004, 0.",53.5019,43.3184
RRRCN73,"16.04.2004, 0.",53.7982,43.3118
RRRCN75,"16.04.2004, 0.",53.7573,43.3477
RRRCN76,"17.04.2004, 0.",53.7845,43.3808
RRRCN77,"18.04.2004, 0.",53.9766,43.1359
