id,NestCode,Latitude,Longitude,Date,Year,Spec,Status,Presence
1,FC2022-2,43.64083,69.42673,5/6/2022,2022,Falco cherrug,Live nest,1
2,FC2022-3,43.633854,69.446734,5/6/2022,2022,Falco cherrug,Live nest,1
3,FC2022-4,43.991459,67.590346,5/16/2022,2022,Falco cherrug,Live nest,1
4,FC-KZ621-4,43.650797,70.142666,5/3/2022,2022,Falco cherrug,Live nest,1
5,NP-KZ21-2,43.13711,69.54887,7/16/2022,2022,Falco cherrug,Live nest,1
6,NP-KZ42-1 (NP11),43.48982,68.8502,5/9/2022,2022,Falco cherrug,Live nest,1
7,FC-KZ604-2,43.79841,68.12057,5/11/2022,2022,Falco cherrug,Occupied bt,1
8,NP-FC-perch,43.394336,69.131158,7/25/2022,2022,Falco cherrug,Occupied bt,1
9,FC,42.788108,69.791721,7/22/2022,2022,Falco cherrug,Occupied bt,1
10,BR-KZ302-1 (BR-34),44.54649,67.41213,4/25/2005,2010,Falco cherrug,Live nest,1
11,FC-KZ595-2 (FC03B),43.442301,68.981953,4/14/2010,2010,Falco cherrug,Live nest,1
12,FC-KZ597-1 (FC05),43.440812,68.951872,4/15/2010,2010,Falco cherrug,Live nest,1
13,FC-KZ599-1 (FC07),43.48388,69.00952,4/15/2010,2010,Falco cherrug,Live nest,1
14,FC-KZ601-1 (FC09),43.631715,68.921317,4/16/2010,2010,Falco cherrug,Live nest,1
15,FC-KZ602-1 (FC10),43.45888,68.82368,4/16/2010,2010,Falco cherrug,Live nest,1
16,FC-KZ604-1 (FC12),43.79786,68.11468,4/18/2010,2010,Falco cherrug,Live nest,1
17,FC-KZ605-1 (FC13),43.875373,67.939054,4/18/2010,2010,Falco cherrug,Live nest,1
18,FC-KZ607-1 (FC14),43.867118,67.908442,4/19/2010,2010,Falco cherrug,Live nest,1
19,FC-KZ608-1 (FC15),43.849618,67.884054,4/19/2010,2010,Falco cherrug,Live nest,1
20,FC-KZ609-1 (FC-GF),43.96095,68.24459,4/19/2010,2010,Falco cherrug,Live nest,1
21,FC-KZ617-1 (FC19),43.720415,68.873736,4/22/2010,2010,Falco cherrug,Live nest,1
22,FC-KZ621-1 (FC20),43.6529,70.1468,4/22/2010,2010,Falco cherrug,Live nest,1
23,FC-KZ623-1 (FC22),43.53088,70.57034,4/23/2010,2010,Falco cherrug,Live nest,1
24,FC2022-4(2),43.937372,67.675548,5/15/2022,2010,Falco cherrug,Occupied bt,1
25,AC-KZ231-2 (AC13B),43.41133,69.00175,7/26/2022,2010,Falco cherrug,Occupied bt,1
26,FC-OLD1,42.882645,70.805578,4/28/2022,2010,Falco cherrug,Occupied bt,1
27,FC-KZ267-1,44.62478,67.29142,4/24/2005,2010,Falco cherrug,Occupied bt,1
28,FC-KZ269,44.389895,67.629002,4/25/2005,2010,Falco cherrug,Occupied bt,1
29,FC-KZ593-1 (FC01),43.14479,69.93433,4/10/2010,2010,Falco cherrug,Occupied bt,1
30,FC-KZ596-1 (FC04),43.460746,69.002589,4/15/2010,2010,Falco cherrug,Occupied bt,1
31,FC-KZ600 (FC08),43.531067,68.931506,4/15/2010,2010,Falco cherrug,Occupied bt,1
32,FC-KZ603-2 (FC11B),43.484561,68.70658,4/17/2010,2010,Falco cherrug,Occupied bt,1
33,FC-KZ606 (FC-X),43.91878,68.07116,4/18/2010,2010,Falco cherrug,Occupied bt,1
34,FC-KZ610 (FC-X2),44.19782,67.87775,4/20/2010,2010,Falco cherrug,Occupied bt,1
35,FC-KZ611 (FC16),44.229527,67.859603,4/20/2010,2010,Falco cherrug,Occupied bt,1
36,FC-KZ612 (FC17B),44.08937,68.13902,4/20/2010,2010,Falco cherrug,Occupied bt,1
37,FC-KZ614 (FC-X3),43.984373,68.261957,4/21/2010,2010,Falco cherrug,Occupied bt,1
38,FC-KZ615 (FC-X4),43.67851,68.87573,4/21/2010,2010,Falco cherrug,Occupied bt,1
39,FC-KZ616,43.760563,68.806651,4/21/2010,2010,Falco cherrug,Occupied bt,1
40,FC-KZ618,43.695414,68.775583,4/22/2010,2010,Falco cherrug,Occupied bt,1
41,FC-KZ619,43.752656,68.835,4/22/2010,2010,Falco cherrug,Occupied bt,1
42,FC-KZ620,43.741625,68.853089,4/22/2010,2010,Falco cherrug,Occupied bt,1
43,FC-KZ622-1 (FC21),43.5413,70.59732,4/23/2010,2010,Falco cherrug,Occupied bt,1
44,FC-KZ632 (FC),43.76086,69.48163,4/22/2010,2010,Falco cherrug,Occupied bt,1
45,FC-KZ595-1 (FC03A),43.43911,68.984903,4/14/2010,2010,Falco cherrug,Alternative nest,1
46,FC-KZ603-1 (FC11A),43.484565,68.707159,4/17/2010,2010,Falco cherrug,Alternative nest,1
47,FC-KZ612-1 (FC17A),44.096386,68.125662,4/20/2010,2010,Falco cherrug,Alternative nest,1
48,FC-KZ621-2,43.64958,70.140494,4/22/2010,2010,Falco cherrug,Alternative nest,1
49,FC-KZ621-3,43.65003,70.14152,4/22/2010,2010,Falco cherrug,Alternative nest,1
50,FC-KZ594-1 (FC02),43.09461,69.92176,4/10/2010,2010,Falco cherrug,Old nest,1
51,FC-KZ598-1 (FC06),43.452222,68.917423,4/15/2010,2010,Falco cherrug,Old nest,1
52,FC-KZ613-1 (FC18A),44.083767,68.163508,4/21/2010,2010,Falco cherrug,Old nest,1
53,FC-KZ624-1 (FC23A),43.42278,70.64481,4/23/2010,2010,Falco cherrug,Old nest,1
135,,44.11447,69.58409,,,,,0
136,,44.12334,69.33896,,,,,0
137,,44.12482,69.29364,,,,,0
138,,44.30248,69.59541,,,,,0
139,,44.25516,69.52158,,,,,0
140,,44.28159,69.52193,,,,,0
141,,44.22749,69.38849,,,,,0
142,,44.27502,69.14758,,,,,0
143,,44.2679,69.2183,,,,,0
144,,44.22732,69.16131,,,,,0
145,,42.36318,70.59049,,,,,0
146,,42.36391,70.59714,,,,,0
147,,42.34995,70.65272,,,,,0
148,,42.37513,70.61972,,,,,0
149,,42.35607,70.57397,,,,,0
150,,42.83027,71.97576,,,,,0
151,,42.8121,71.99882,,,,,0
152,,42.80555,71.99899,,,,,0
153,,42.80366,71.94818,,,,,0
154,,42.80599,71.96054,,,,,0
155,,42.82205,71.94844,,,,,0
156,,42.8172,71.91651,,,,,0
157,,42.82601,71.93608,,,,,0
158,,42.82998,71.89111,,,,,0
159,,42.82274,71.92604,,,,,0
160,,42.82973,71.91969,,,,,0
161,,42.82028,71.9117,,,,,0
162,,42.20164,71.55956,,,,,0
163,,42.20634,71.51218,,,,,0
164,,42.19744,71.489,,,,,0
165,,42.18778,71.45295,,,,,0
166,,42.22135,71.38429,,,,,0
167,,42.23113,71.34755,,,,,0
168,,42.20024,71.40317,,,,,0
169,,42.2066,71.39116,,,,,0
170,,42.21245,71.34103,,,,,0
171,,42.22808,71.2837,,,,,0
172,,42.23505,71.22335,,,,,0
173,,42.21064,71.26455,,,,,0
174,,42.26707,71.16464,,,,,0
175,,42.29844,71.14679,,,,,0
176,,42.31304,71.03195,,,,,0
177,,42.29932,71.12345,,,,,0
178,,42.2644,70.98663,,,,,0
179,,42.2964,70.99144,,,,,0
180,,42.28244,70.97771,,,,,0
181,,42.29818,71.04843,,,,,0
182,,42.30631,70.96398,,,,,0
183,,41.86705,70.11962,,,,,0
184,,41.87044,70.12855,,,,,0
185,,41.86756,70.14648,,,,,0
186,,41.8781,70.31575,,,,,0
187,,41.92946,70.19765,,,,,0
188,,41.89088,70.19765,,,,,0
189,,41.92206,70.2258,,,,,0
190,,42.1251,70.45547,,,,,0
191,,42.11161,70.43882,,,,,0
192,,42.09492,70.41462,,,,,0
193,,42.07454,70.4081,,,,,0
194,,42.09225,70.43264,,,,,0
195,,42.07403,70.38303,,,,,0
196,,42.0883,70.5262,,,,,0
197,,42.1074,70.49496,,,,,0
198,,42.12166,70.46886,,,,,0
199,,42.15883,70.53478,,,,,0
200,,42.28098,70.77919,,,,,0
201,,42.31755,70.84013,,,,,0
202,,42.32593,70.80717,,,,,0
203,,42.3093,70.78382,,,,,0
204,,42.31197,70.70434,,,,,0
205,,42.31108,70.65628,,,,,0
206,,42.36986,70.80829,,,,,0
207,,42.34601,70.80987,,,,,0
208,,42.34278,70.81781,,,,,0
209,,42.36352,70.82201,,,,,0
210,,42.36935,70.7815,,,,,0
211,,42.33434,70.71833,,,,,0
212,,42.33028,70.68743,,,,,0
213,,43.51892,69.44972,,,,,0
