id,NestCode,Latitude,Longitude,Date,Year,Spec,Status,Presence
1,FC2022-2,43.64083,69.42673,5/6/2022,2022,Falco cherrug,Live nest,1
2,FC2022-3,43.633854,69.446734,5/6/2022,2022,Falco cherrug,Live nest,1
3,FC2022-4,43.991459,67.590346,5/16/2022,2022,Falco cherrug,Live nest,1
4,FC-KZ621-4,43.650797,70.142666,5/3/2022,2022,Falco cherrug,Live nest,1
5,NP-KZ21-2,43.13711,69.54887,7/16/2022,2022,Falco cherrug,Live nest,1
6,NP-KZ42-1 (NP11),43.48982,68.8502,5/9/2022,2022,Falco cherrug,Live nest,1
7,FC-KZ604-2,43.79841,68.12057,5/11/2022,2022,Falco cherrug,Occupied bt,1
8,NP-FC-perch,43.394336,69.131158,7/25/2022,2022,Falco cherrug,Occupied bt,1
9,FC,42.788108,69.791721,7/22/2022,2022,Falco cherrug,Occupied bt,1
10,BR-KZ302-1 (BR-34),44.54649,67.41213,4/25/2005,2010,Falco cherrug,Live nest,1
11,FC-KZ595-2 (FC03B),43.442301,68.981953,4/14/2010,2010,Falco cherrug,Live nest,1
12,FC-KZ597-1 (FC05),43.440812,68.951872,4/15/2010,2010,Falco cherrug,Live nest,1
13,FC-KZ599-1 (FC07),43.48388,69.00952,4/15/2010,2010,Falco cherrug,Live nest,1
14,FC-KZ601-1 (FC09),43.631715,68.921317,4/16/2010,2010,Falco cherrug,Live nest,1
15,FC-KZ602-1 (FC10),43.45888,68.82368,4/16/2010,2010,Falco cherrug,Live nest,1
16,FC-KZ604-1 (FC12),43.79786,68.11468,4/18/2010,2010,Falco cherrug,Live nest,1
17,FC-KZ605-1 (FC13),43.875373,67.939054,4/18/2010,2010,Falco cherrug,Live nest,1
18,FC-KZ607-1 (FC14),43.867118,67.908442,4/19/2010,2010,Falco cherrug,Live nest,1
19,FC-KZ608-1 (FC15),43.849618,67.884054,4/19/2010,2010,Falco cherrug,Live nest,1
20,FC-KZ609-1 (FC-GF),43.96095,68.24459,4/19/2010,2010,Falco cherrug,Live nest,1
21,FC-KZ617-1 (FC19),43.720415,68.873736,4/22/2010,2010,Falco cherrug,Live nest,1
22,FC-KZ621-1 (FC20),43.6529,70.1468,4/22/2010,2010,Falco cherrug,Live nest,1
23,FC-KZ623-1 (FC22),43.53088,70.57034,4/23/2010,2010,Falco cherrug,Live nest,1
24,FC2022-4(2),43.937372,67.675548,5/15/2022,2010,Falco cherrug,Occupied bt,1
25,AC-KZ231-2 (AC13B),43.41133,69.00175,7/26/2022,2010,Falco cherrug,Occupied bt,1
26,FC-OLD1,42.882645,70.805578,4/28/2022,2010,Falco cherrug,Occupied bt,1
27,FC-KZ267-1,44.62478,67.29142,4/24/2005,2010,Falco cherrug,Occupied bt,1
28,FC-KZ269,44.389895,67.629002,4/25/2005,2010,Falco cherrug,Occupied bt,1
29,FC-KZ593-1 (FC01),43.14479,69.93433,4/10/2010,2010,Falco cherrug,Occupied bt,1
30,FC-KZ596-1 (FC04),43.460746,69.002589,4/15/2010,2010,Falco cherrug,Occupied bt,1
31,FC-KZ600 (FC08),43.531067,68.931506,4/15/2010,2010,Falco cherrug,Occupied bt,1
32,FC-KZ603-2 (FC11B),43.484561,68.70658,4/17/2010,2010,Falco cherrug,Occupied bt,1
33,FC-KZ606 (FC-X),43.91878,68.07116,4/18/2010,2010,Falco cherrug,Occupied bt,1
34,FC-KZ610 (FC-X2),44.19782,67.87775,4/20/2010,2010,Falco cherrug,Occupied bt,1
35,FC-KZ611 (FC16),44.229527,67.859603,4/20/2010,2010,Falco cherrug,Occupied bt,1
36,FC-KZ612 (FC17B),44.08937,68.13902,4/20/2010,2010,Falco cherrug,Occupied bt,1
37,FC-KZ614 (FC-X3),43.984373,68.261957,4/21/2010,2010,Falco cherrug,Occupied bt,1
38,FC-KZ615 (FC-X4),43.67851,68.87573,4/21/2010,2010,Falco cherrug,Occupied bt,1
39,FC-KZ616,43.760563,68.806651,4/21/2010,2010,Falco cherrug,Occupied bt,1
40,FC-KZ618,43.695414,68.775583,4/22/2010,2010,Falco cherrug,Occupied bt,1
41,FC-KZ619,43.752656,68.835,4/22/2010,2010,Falco cherrug,Occupied bt,1
42,FC-KZ620,43.741625,68.853089,4/22/2010,2010,Falco cherrug,Occupied bt,1
43,FC-KZ622-1 (FC21),43.5413,70.59732,4/23/2010,2010,Falco cherrug,Occupied bt,1
44,FC-KZ632 (FC),43.76086,69.48163,4/22/2010,2010,Falco cherrug,Occupied bt,1
45,FC-KZ595-1 (FC03A),43.43911,68.984903,4/14/2010,2010,Falco cherrug,Alternative nest,1
46,FC-KZ603-1 (FC11A),43.484565,68.707159,4/17/2010,2010,Falco cherrug,Alternative nest,1
47,FC-KZ612-1 (FC17A),44.096386,68.125662,4/20/2010,2010,Falco cherrug,Alternative nest,1
48,FC-KZ621-2,43.64958,70.140494,4/22/2010,2010,Falco cherrug,Alternative nest,1
49,FC-KZ621-3,43.65003,70.14152,4/22/2010,2010,Falco cherrug,Alternative nest,1
50,FC-KZ594-1 (FC02),43.09461,69.92176,4/10/2010,2010,Falco cherrug,Old nest,1
51,FC-KZ598-1 (FC06),43.452222,68.917423,4/15/2010,2010,Falco cherrug,Old nest,1
52,FC-KZ613-1 (FC18A),44.083767,68.163508,4/21/2010,2010,Falco cherrug,Old nest,1
53,FC-KZ624-1 (FC23A),43.42278,70.64481,4/23/2010,2010,Falco cherrug,Old nest,1
54,NP2022-1,43.474346,69.863915,5/4/2022,2022,Neophron percnopterus,Live nest,1
55,NP2022-10,43.28107,69.47685,7/15/2022,2022,Neophron percnopterus,Live nest,1
56,NP2022-11,43.22346,69.4037,7/15/2022,2022,Neophron percnopterus,Live nest,1
57,NP2022-14,42.87692,69.77452,7/20/2022,2022,Neophron percnopterus,Live nest,1
58,NP2022-2,43.596149,69.88046,5/5/2022,2022,Neophron percnopterus,Live nest,1
59,NP2022-3,43.632805,69.449749,5/6/2022,2022,Neophron percnopterus,Live nest,1
60,NP2022-5B,43.733736,68.004941,5/12/2022,2022,Neophron percnopterus,Live nest,1
61,NP2022-6,43.837818,67.836046,5/13/2022,2022,Neophron percnopterus,Live nest,1
62,NP2022-7,43.9287 ,67.721057,5/16/2022,2022,Neophron percnopterus,Live nest,1
63,NP2022-8,44.038105,67.629676,5/17/2022,2022,Neophron percnopterus,Live nest,1
64,NP2022-9,43.656420,69.335820,7/14/2022,2022,Neophron percnopterus,Live nest,1
65,NP2022G-01,43.218971,69.782718,7/16/2022,2022,Neophron percnopterus,Live nest,1
66,NP2022G-03,43.001569,69.817203,7/20/2022,2022,Neophron percnopterus,Live nest,1
67,NP-KZ14-1,42.891703,70.947306,4/27/2022,2022,Neophron percnopterus,Live nest,1
68,NP-KZ15-1 (NP02),42.81662,70.94396,4/27/2022,2022,Neophron percnopterus,Live nest,1
69,NP-KZ24-2,43.655192,70.152725,5/3/2022,2022,Neophron percnopterus,Live nest,1
70,NP-KZ28-2,43.514431,69.883877,5/5/2022,2022,Neophron percnopterus,Live nest,1
71,NP-KZ29-2,43.543433,69.80069,5/4/2022,2022,Neophron percnopterus,Live nest,1
72,FC-KZ595-2 (FC03B),43.442301 ,68.981953,5/8/2022,2022,Neophron percnopterus,Occupied bt,1
73,NP2022-4,43.470684,68.873615,5/9/2022,2022,Neophron percnopterus,Occupied bt,1
74,NP2022-12,43.183214,69.780455,7/18/2022,2022,Neophron percnopterus,Occupied bt,1
75,NP2022-13,43.06214,69.71958,7/19/2022,2022,Neophron percnopterus,Occupied bt,1
76,NP2022-15,42.84476,69.786921,7/21/2022,2022,Neophron percnopterus,Occupied bt,1
77,NP2022-17A,42.78743,69.746684,7/22/2022,2022,Neophron percnopterus,Occupied bt,1
78,NP2022-18,43.399957,69.127344,7/25/2022,2022,Neophron percnopterus,Occupied bt,1
79,NP2022G-02,42.991164,69.764325,7/19/2022,2022,Neophron percnopterus,Occupied bt,1
80,NP-HZ1,43.536609,69.498408,5/6/2022,2022,Neophron percnopterus,Occupied bt,1
81,NP-KZ20B,42.831122,69.84485,7/23/2022,2022,Neophron percnopterus,Occupied bt,1
82,NP-KZ21-2,43.13711,69.54887,7/16/2022,2022,Neophron percnopterus,Occupied bt,1
83,NP-KZ25,43.190405,70.386967,7/11/2022,2022,Neophron percnopterus,Occupied bt,1
84,NP-KZ35-2,43.073867,69.890489,7/5/2022,2022,Neophron percnopterus,Occupied bt,1
