id,NestCode,Latitude,Longitude,Date,Year,Spec,Status,Presence
1,FC2022-2,43.64083,69.42673,5/6/2022,2022,Falco cherrug,Live nest,1
2,FC2022-3,43.633854,69.446734,5/6/2022,2022,Falco cherrug,Live nest,1
3,FC2022-4,43.991459,67.590346,5/16/2022,2022,Falco cherrug,Live nest,1
4,FC-KZ621-4,43.650797,70.142666,5/3/2022,2022,Falco cherrug,Live nest,1
5,NP-KZ21-2,43.13711,69.54887,7/16/2022,2022,Falco cherrug,Live nest,1
6,NP-KZ42-1 (NP11),43.48982,68.8502,5/9/2022,2022,Falco cherrug,Live nest,1
7,FC-KZ604-2,43.79841,68.12057,5/11/2022,2022,Falco cherrug,Occupied bt,1
8,NP-FC-perch,43.394336,69.131158,7/25/2022,2022,Falco cherrug,Occupied bt,1
9,FC,42.788108,69.791721,7/22/2022,2022,Falco cherrug,Occupied bt,1
10,BR-KZ302-1 (BR-34),44.54649,67.41213,4/25/2005,2010,Falco cherrug,Live nest,1
11,FC-KZ595-2 (FC03B),43.442301,68.981953,4/14/2010,2010,Falco cherrug,Live nest,1
12,FC-KZ597-1 (FC05),43.440812,68.951872,4/15/2010,2010,Falco cherrug,Live nest,1
13,FC-KZ599-1 (FC07),43.48388,69.00952,4/15/2010,2010,Falco cherrug,Live nest,1
14,FC-KZ601-1 (FC09),43.631715,68.921317,4/16/2010,2010,Falco cherrug,Live nest,1
15,FC-KZ602-1 (FC10),43.45888,68.82368,4/16/2010,2010,Falco cherrug,Live nest,1
16,FC-KZ604-1 (FC12),43.79786,68.11468,4/18/2010,2010,Falco cherrug,Live nest,1
17,FC-KZ605-1 (FC13),43.875373,67.939054,4/18/2010,2010,Falco cherrug,Live nest,1
18,FC-KZ607-1 (FC14),43.867118,67.908442,4/19/2010,2010,Falco cherrug,Live nest,1
19,FC-KZ608-1 (FC15),43.849618,67.884054,4/19/2010,2010,Falco cherrug,Live nest,1
20,FC-KZ609-1 (FC-GF),43.96095,68.24459,4/19/2010,2010,Falco cherrug,Live nest,1
21,FC-KZ617-1 (FC19),43.720415,68.873736,4/22/2010,2010,Falco cherrug,Live nest,1
22,FC-KZ621-1 (FC20),43.6529,70.1468,4/22/2010,2010,Falco cherrug,Live nest,1
23,FC-KZ623-1 (FC22),43.53088,70.57034,4/23/2010,2010,Falco cherrug,Live nest,1
24,FC2022-4(2),43.937372,67.675548,5/15/2022,2010,Falco cherrug,Occupied bt,1
25,AC-KZ231-2 (AC13B),43.41133,69.00175,7/26/2022,2010,Falco cherrug,Occupied bt,1
26,FC-OLD1,42.882645,70.805578,4/28/2022,2010,Falco cherrug,Occupied bt,1
27,FC-KZ267-1,44.62478,67.29142,4/24/2005,2010,Falco cherrug,Occupied bt,1
28,FC-KZ269,44.389895,67.629002,4/25/2005,2010,Falco cherrug,Occupied bt,1
29,FC-KZ593-1 (FC01),43.14479,69.93433,4/10/2010,2010,Falco cherrug,Occupied bt,1
30,FC-KZ596-1 (FC04),43.460746,69.002589,4/15/2010,2010,Falco cherrug,Occupied bt,1
31,FC-KZ600 (FC08),43.531067,68.931506,4/15/2010,2010,Falco cherrug,Occupied bt,1
32,FC-KZ603-2 (FC11B),43.484561,68.70658,4/17/2010,2010,Falco cherrug,Occupied bt,1
33,FC-KZ606 (FC-X),43.91878,68.07116,4/18/2010,2010,Falco cherrug,Occupied bt,1
34,FC-KZ610 (FC-X2),44.19782,67.87775,4/20/2010,2010,Falco cherrug,Occupied bt,1
35,FC-KZ611 (FC16),44.229527,67.859603,4/20/2010,2010,Falco cherrug,Occupied bt,1
36,FC-KZ612 (FC17B),44.08937,68.13902,4/20/2010,2010,Falco cherrug,Occupied bt,1
37,FC-KZ614 (FC-X3),43.984373,68.261957,4/21/2010,2010,Falco cherrug,Occupied bt,1
38,FC-KZ615 (FC-X4),43.67851,68.87573,4/21/2010,2010,Falco cherrug,Occupied bt,1
39,FC-KZ616,43.760563,68.806651,4/21/2010,2010,Falco cherrug,Occupied bt,1
40,FC-KZ618,43.695414,68.775583,4/22/2010,2010,Falco cherrug,Occupied bt,1
41,FC-KZ619,43.752656,68.835,4/22/2010,2010,Falco cherrug,Occupied bt,1
42,FC-KZ620,43.741625,68.853089,4/22/2010,2010,Falco cherrug,Occupied bt,1
43,FC-KZ622-1 (FC21),43.5413,70.59732,4/23/2010,2010,Falco cherrug,Occupied bt,1
44,FC-KZ632 (FC),43.76086,69.48163,4/22/2010,2010,Falco cherrug,Occupied bt,1
45,FC-KZ595-1 (FC03A),43.43911,68.984903,4/14/2010,2010,Falco cherrug,Alternative nest,1
46,FC-KZ603-1 (FC11A),43.484565,68.707159,4/17/2010,2010,Falco cherrug,Alternative nest,1
47,FC-KZ612-1 (FC17A),44.096386,68.125662,4/20/2010,2010,Falco cherrug,Alternative nest,1
48,FC-KZ621-2,43.64958,70.140494,4/22/2010,2010,Falco cherrug,Alternative nest,1
49,FC-KZ621-3,43.65003,70.14152,4/22/2010,2010,Falco cherrug,Alternative nest,1
50,FC-KZ594-1 (FC02),43.09461,69.92176,4/10/2010,2010,Falco cherrug,Old nest,1
51,FC-KZ598-1 (FC06),43.452222,68.917423,4/15/2010,2010,Falco cherrug,Old nest,1
52,FC-KZ613-1 (FC18A),44.083767,68.163508,4/21/2010,2010,Falco cherrug,Old nest,1
53,FC-KZ624-1 (FC23A),43.42278,70.64481,4/23/2010,2010,Falco cherrug,Old nest,1
54,232,43.51892,69.44972,,,,,0
55,231,43.52365,69.4371,,,,,0
56,230,43.49264,69.4258,,,,,0
57,229,43.42335,69.61423,,,,,0
58,228,43.49624,69.68282,,,,,0
59,227,43.50678,69.65643,,,,,0
60,226,43.51128,69.63992,,,,,0
61,225,43.54076,69.54966,,,,,0
62,224,43.54428,69.53882,,,,,0
63,223,43.13145,71.04275,,,,,0
64,222,43.141,71.0317,,,,,0
65,221,43.24426,70.91756,,,,,0
66,220,43.25173,70.91156,,,,,0
67,219,43.28397,70.87473,,,,,0
68,218,43.83696,70.97569,,,,,0
69,217,43.82306,70.97015,,,,,0
70,216,43.80279,70.96917,,,,,0
71,215,43.76375,70.94385,,,,,0
72,214,43.6979,70.93246,,,,,0
73,213,43.68603,70.93098,,,,,0
74,212,43.65247,70.9273,,,,,0
75,211,43.66613,70.92669,,,,,0
76,210,43.61491,70.92616,,,,,0
77,209,43.6049,70.922,,,,,0
78,208,43.538,70.89834,,,,,0
79,207,43.50666,70.88672,,,,,0
80,206,43.51727,70.86874,,,,,0
81,205,43.75541,70.1009,,,,,0
82,204,43.75249,70.10914,,,,,0
83,203,43.80446,70.18468,,,,,0
84,202,43.78359,70.53459,,,,,0
85,201,43.79325,70.53438,,,,,0
86,200,43.6788,70.51204,,,,,0
87,199,43.69026,70.52674,,,,,0
88,198,43.70425,70.52009,,,,,0
89,197,43.71473,70.50871,,,,,0
90,196,43.58749,70.25615,,,,,0
91,195,43.6105,70.24267,,,,,0
92,194,43.54992,70.3302,,,,,0
93,193,43.56528,70.31544,,,,,0
94,192,43.72211,69.52105,,,,,0
95,191,43.71209,69.52736,,,,,0
96,190,43.40769,70.01426,,,,,0
97,189,43.41001,70.0075,,,,,0
98,188,43.41152,70.00806,,,,,0
99,187,43.42378,69.98241,,,,,0
100,186,43.42235,69.97198,,,,,0
101,185,43.42989,69.94932,,,,,0
102,184,43.44086,69.90654,,,,,0
103,183,43.42841,69.92538,,,,,0
104,182,43.43405,69.92658,,,,,0
105,181,43.36774,68.11575,,,,,0
106,180,43.37398,68.10506,,,,,0
107,179,42.78709,69.66183,,,,,0
108,178,42.80634,69.65745,,,,,0
109,177,42.79888,69.65852,,,,,0
110,176,42.93529,69.63914,,,,,0
111,175,42.93441,69.62481,,,,,0
112,174,42.94641,69.63125,,,,,0
113,173,42.99413,69.50153,,,,,0
114,172,42.99909,69.5193,,,,,0
115,171,43.00887,69.45414,,,,,0
116,170,43.01165,69.44382,,,,,0
117,169,43.01199,69.44794,,,,,0
118,168,43.02834,69.40554,,,,,0
119,167,43.03806,69.37833,,,,,0
120,166,43.03751,69.28101,,,,,0
121,165,43.04717,69.28093,,,,,0
122,164,43.08324,69.17525,,,,,0
123,163,43.08958,69.13556,,,,,0
124,162,43.74196,67.52379,,,,,0
125,161,43.66094,67.61279,,,,,0
126,160,43.93067,68.81427,,,,,0
127,159,44.12568,68.484,,,,,0
128,158,44.05713,68.56502,,,,,0
