Name,Descriptio,X_coord,Y_coord
RRRCN53,4/10/2009,75.462,43.2492
X95,5/24/2019,75.29386,43.9699
X168,7/8/2014,75.44041,43.25605
X161,5/27/2018,75.71783,43.25227
X170,5/18/2014,75.7194,43.25121
X172,6/16/2013,75.7205,43.25069
X121,5/22/2017,75.72414,43.2491
X173,6/15/2013,75.70642,43.2275
X153,7/10/2020,75.81415,43.25895
X152,7/10/2020,75.8183,43.25189
X189,5/11/2009,75.80159,43.27154
X60,5/23/2012,79.29812,43.00769
X114,5/20/2008,79.33664,42.99064
X190,4/23/2009,78.82403,43.02346
X5,4/23/2009,78.79176,43.03955
X133,5/28/2000,78.78921,43.04027
X155,8/5/2019,78.88231,43.11073
X181,5/26/2012,78.62545,43.55018
X187,6/5/2009,78.62949,43.54863
X82,6/3/2007,78.63242,43.49165
X48,5/25/2003,78.59223,43.42484
X100,5/23/2005,78.66971,43.45401
X84,5/4/2012,78.97092,43.26825
X183,7/14/2011,78.94923,43.33521
X123,6/7/2017,78.92231,43.34302
X179,9/24/2012,79.07886,43.35389
X159,7/3/2018,79.17731,43.34278
X163,5/28/2017,79.15491,43.37659
X192,5/24/2007,78.97047,43.51359
X88,6/5/2010,78.96649,43.51364
X138,6/3/2009,79.183,43.44934
X115,6/8/2018,79.21371,43.49239
X116,5/6/2017,79.21414,43.49442
X134,6/4/2007,79.21399,43.49354
X131,5/14/2005,79.22816,43.51985
X171,6/30/2013,79.23072,43.52679
X104,6/28/2017,79.29576,43.53344
X93,6/28/2017,79.28504,43.52387
X158,5/13/2019,79.62262,44.18085
X154,6/30/2020,79.55775,44.2089
X166,9/5/2015,79.47208,44.23601
X157,6/1/2019,78.54134,44.20265
X90,5/4/2019,77.02784,43.96072
X185,5/15/2010,77.00528,43.98986
X188,5/23/2009,77.01394,43.98525
X79,6/5/2003,76.99683,44.06123
X174,6/2/2013,76.3816,43.7236
X175,6/2/2013,76.38684,43.73035
X182,9/3/2011,76.34909,43.84497
X165,4/30/2016,76.35218,43.85473
X191,4/10/2009,74.49056,43.67183
X47,5/30/2003,75.53527,43.8017
X194,5/11/1992,75.91332,43.86725
X122,6/10/2017,76.06234,43.8988
X105,5/22/2019,75.89004,44.05735
X178,5/27/2013,75.78273,44.12276
RRRCN84,5/3/2013,78.9704,43.2683
X62,5/15/2021,76.359,43.8256
