ID,X_coord,Y_coord
1,73.69387,43.13458
2,73.57989,43.15562
3,72.75396,43.25117
4,72.98055,43.27317
5,72.97506,43.39803
6,73.4049,43.29217
7,73.1577,43.23216
8,73.10277,43.28617
9,77.4616,44.67643
10,76.28057,44.7896
11,75.31377,44.91422
12,79.17135,45.11421
13,79.41579,44.96962
14,79.10955,44.97837
15,79.15483,44.92833
16,79.77968,44.64177
17,79.56544,44.69646
18,79.41575,44.60072
19,79.12248,43.84818
20,79.34633,43.92142
21,80.17168,43.81747
22,79.97804,43.88778
23,79.3889,43.79368
24,80.65594,43.38431
25,80.58453,43.33139
26,80.55844,43.62039
27,80.31399,43.57862
28,79.97753,43.5627
29,80.44308,43.34038
30,80.18765,43.30542
31,80.04757,43.29642
32,79.84432,43.29342
33,79.89947,43.2529
34,79.38037,43.39875
35,79.68386,43.18585
36,78.95544,42.79766
37,78.79682,42.87369
38,78.93964,42.88677
39,78.55649,42.93254
40,78.54345,42.87218
41,78.31136,42.91796
42,78.03808,42.89935
43,77.76067,42.91393
44,77.77921,43.11877
45,78.10262,43.09119
46,77.74007,43.16536
47,77.75106,43.20642
48,77.57802,43.28194
49,78.66018,43.19741
50,77.59176,43.10724
51,77.37478,43.09922
52,77.14681,42.98078
53,76.94082,43.07515
54,76.74368,42.93153
55,76.57339,42.90739
56,76.61733,43.00187
57,76.36465,42.97374
58,76.43812,42.88375
59,76.32551,42.85808
60,76.25273,42.7237
61,76.11317,42.7503
62,76.03866,42.78193
63,76.01807,42.76316
64,75.98231,42.76635
65,75.96896,42.76124
66,75.97619,42.75494
67,76.15278,42.70289
68,76.08927,42.69027
69,76.11674,42.66629
70,76.03468,42.64331
71,75.22675,42.50932
72,75.27378,42.54449
73,75.16868,42.548
74,75.16237,42.56153
75,75.21333,42.58422
76,75.24741,42.5865
77,75.25366,42.58897
78,75.32427,42.50102
79,75.50555,42.46559
80,74.71453,42.48483
81,75.0043,42.4433
82,74.99056,42.54961
83,74.40417,42.63454
84,74.57171,42.50407
85,77.49062,43.55932
86,77.26574,43.6205
87,77.43157,43.66894
88,77.33681,43.76884
89,77.55833,43.74595
90,78.31415,43.66852
91,78.22351,43.88765
92,78.69604,44.3539
93,78.73136,44.38751
94,78.75814,44.39512
95,78.75492,44.37374
96,79.07927,44.29198
97,79.28183,44.1202
98,79.30312,44.29149
99,79.39376,44.45346
100,79.18639,44.42601
101,79.04494,44.42993
102,78.88289,44.26199
103,78.49837,44.03338
104,78.10136,44.42893
105,78.06308,44.39607
106,77.9769,44.36699
107,79.2826,44.68297
108,79.19128,44.66149
109,79.13978,44.67516
110,79.09103,44.69762
111,78.67629,44.57889
112,78.51974,44.5696
113,76.94603,44.36409
114,76.95659,44.38047
115,76.71832,44.37698
116,76.68047,44.39029
117,76.46145,44.15944
118,76.57749,44.22104
119,76.50472,44.29742
120,76.43176,44.31057
121,76.21925,44.33746
122,76.17633,44.33083
123,76.0814,44.30185
124,75.79561,44.30625
125,75.82084,44.29774
126,75.74224,44.35946
127,75.68044,44.36633
128,75.61332,44.37333
129,75.70533,44.30998
130,75.58705,44.32128
131,75.50311,44.35774
132,75.38226,44.37419
133,75.38192,44.4752
134,75.21335,44.43624
135,74.95277,44.52026
136,75.01079,44.5172
137,75.60405,44.49272
138,73.79362,42.67727
139,73.49552,42.75788
140,73.48406,42.76179
141,73.45239,42.77823
142,73.4984,42.78907
143,73.62754,42.47664
144,73.50326,42.43257
145,73.43391,42.45993
146,73.34876,42.58139
147,74.26234,43.0611
148,74.29805,43.11506
149,74.17875,43.11656
150,74.63383,43.74253
151,74.59838,43.75232
152,74.64483,43.66816
153,74.60917,43.66978
