id,Latitude,Longitude,Presence
FC-RT164-1,51.425767,94.638692,1
BH-RT508-1,51.43958,94.90131,1
FC-RT273-2(A09-MK-FC),51.39501,94.61409,1
FC-RT275-1,51.38135,94.92127,1
FC-RT274-1,51.3711,94.8705,1
FC-RT288-1,51.57476,94.5223,1
FC-RT283-1,51.59598,94.60582,1
FC-RT226-2,51.55265,94.65215,1
FC-RT286-1,51.52497,94.68795,1
FC-RT285-1,51.510279,94.73956,1
FC-RT273-3,51.38444,94.58648,1
FC-RT287-1,51.41307,94.85187,1
FC-RT284-1,51.47554,94.76864,1
FC-RT288-2,51.575694,94.513407,1
BH-RT500-2,51.59827,94.50843,1
BH-RT504-1,51.46638,94.89448,1
MM-TH11,51.43014,94.85967,1
BH-RT519-1,51.39966,94.66272,1
TUV-16,51.529646,94.657041,1
BH-RT573-1,51.54663,94.63748,1
BH-RT443-3,51.60927,94.47478,1
FC-RT288-4,51.5763,94.5143,1
FC-RT288-3,51.58127,94.50847,1
MM-Al10,51.401,94.68024,1
FC-RT273-1,51.39667,94.57542,1
FC-X1,51.48347,94.45192,1
FC-Pine1,51.22943,94.93495,1
FC-RT229-2,51.32496,94.43591,1
2018D-FC6,51.513948,94.741826,1
2018D-FC10,51.41702,94.66332,1
FC-X1b,51.482398,94.452826,1
2018D-FC8,51.360203,94.649093,1
FC2019-Larch3 FC-Z12,51.4558,94.4129,1
FC2019-LARCH2,51.5043,94.36575,1
FC-Pine1b,51.23142,94.92857,1
T2019-1,51.21281,94.91595,1
FC2019-LARCH5,51.20404,94.58658,1
MM-X20,51.40916,94.66651,1
MM-X14,51.48186,94.44122,1
FC-RUINS,51.43356,94.85384,1
BH-RT505-1,51.46041,94.91208,1
FC-Karagachi1,51.306024,94.641363,1
FC-Pine3,51.454355,94.419293,1
PSM2019-2,51.1582,94.9172,1
PSM2019-11,51.203933,94.586914,1
PSM2019-17,51.2098,94.696,1
BH-X13b,51.617051,94.45935,1
T2018-18,51.50297,94.68826,1
T2018-9,51.39159,94.58025,1
PSM2019-12,51.48197,94.45096,1
MM-X12,51.39577,94.96474,1
BH-X20,51.33692,94.63955,1
BH2020-23,51.29462,94.64919,1
FC2021-1,51.46947,94.42288,1
DFC2020-44,51.6189,94.72134,1
DFC2020-25,51.32639,94.96368,1
FC-F2021-26,51.21577,95.0117,1
MM-X25,51.20384,94.97336,1
nest with clutch is destroyed,51.21509,94.91201,1
DFC2020-9,51.16052,94.89325,1
PSM2019-6b,51.32597,94.43514,1
DFC2020-54,51.2801,94.47206,1
FC2020-x1b,51.153769,94.779985,1
CORV-X2,51.61765,94.48096,1
2018D-FC5,51.49979,94.68343,1
DFT2020-11,51.40256,94.66264,1
PL-1,51.38897,94.57684,1
BH-RT502-1,51.43031,94.8548,1
FC1B,51.3281,94.7229,1
FC-Karagachi1B,51.28956,94.61904,1
PL2020-1,51.62543,94.70404,1
FC2021-26b,51.20825,95.02729,1
BH-X28b,51.19929,94.95985,1
CC2021-5,51.17287,94.63132,1
2021-10,51.34856,95.03694,1
FC-D41b,51.07684,94.99443,1
84,51.79172,94.80512,0
83,51.82356,94.86555,0
82,51.82569,94.8065,0
81,51.82165,94.72238,0
80,51.95315,94.20305,0
79,51.93728,94.08769,0
78,51.89156,94.04892,0
77,51.89915,93.98796,0
76,51.8884,94.00109,0
75,51.8697,93.80574,0
74,51.91864,93.7975,0
73,51.90508,93.84934,0
72,51.93591,91.55171,0
71,51.91643,91.44116,0
70,51.96892,91.37726,0
69,52.02473,91.34911,0
68,52.03888,91.31547,0
67,51.97188,91.10055,0
66,51.93274,91.0208,0
65,51.93104,90.95144,0
64,51.90669,90.91986,0
63,51.9086,90.87111,0
62,51.5828,94.08442,0
61,51.49361,94.16206,0
60,51.3919,94.11039,0
59,51.3875,94.07812,0
58,51.36816,94.02465,0
57,51.37293,94.00516,0
56,51.21759,94.0795,0
55,51.22652,94.13285,0
54,51.13379,94.46095,0
53,51.13416,94.43279,0
52,50.88951,94.93102,0
51,50.84878,94.8884,0
50,50.90669,94.78058,0
49,51.69339,94.38782,0
48,51.64349,94.62991,0
47,51.62479,94.64003,0
46,51.69768,94.4838,0
45,51.6972,94.54172,0
44,51.69172,94.56215,0
43,51.69406,94.63416,0
42,51.67407,94.77524,0
41,51.68238,94.75721,0
40,51.6547,94.78827,0
39,51.65837,94.80767,0
38,51.26979,95.15364,0
37,51.27172,95.12368,0
36,50.86995,95.08263,0
35,50.87557,95.00974,0
34,50.93622,94.74802,0
33,50.93217,94.7221,0
32,50.93786,94.82247,0
31,50.94824,94.86624,0
30,50.96214,94.91809,0
29,50.97543,94.95413,0
28,50.97527,94.93474,0
27,50.97522,95.08606,0
26,50.97738,95.06408,0
25,51.03946,95.19125,0
24,51.06752,95.11744,0
23,51.28261,94.79573,0
22,51.2898,94.78955,0
21,51.40789,94.78131,0
20,51.41613,94.79298,0
19,51.42716,94.77599,0
18,51.05688,95.14733,0
17,51.23963,94.32546,0
16,51.28638,94.29638,0
15,51.29191,94.2405,0
14,51.32586,94.46522,0
13,51.33191,94.40465,0
12,51.35382,94.38743,0
11,51.36883,94.37696,0
10,51.36411,94.43532,0
9,51.36336,94.47463,0
8,51.32529,94.55661,0
7,51.32583,94.55933,0
6,51.32776,94.55172,0
5,51.31065,94.55131,0
4,51.31219,94.55409,0
3,51.31906,94.54525,0
2,51.33297,94.52964,0
1,51.34498,94.50767,0
