id,Longitude,Latitude
1,52.86295,44.43019
2,52.17081,44.64163
3,51.52811,44.73535
4,54.26371,44.17465
5,54.9943,44.005
6,53.67044,44.84451
7,55.44474,44.4498
8,55.56009,43.5449
9,55.1536,42.56151
10,53.41306,43.39224
11,53.40954,43.39049
12,53.39667,43.3913
13,53.3866,43.39257
14,53.40085,43.42187
15,53.38888,43.42415
16,53.37907,43.4236
17,53.37014,43.41813
18,53.32019,43.46099
19,53.29461,43.46389
20,53.27595,43.46009
21,52.35842,43.15979
22,51.7464,43.40911
23,54.30209,45.72135
24,54.38174,45.69186
25,55.83859,45.32613
26,56.25744,45.19128
27,56.14801,45.0643
28,56.08495,45.03729
29,56.01316,45.02716
30,56.01642,45.04063
31,55.51861,44.85158
32,55.61611,44.83064
33,55.54293,44.78924
34,55.95277,42.36305
35,55.59847,42.35087
36,55.07387,42.14654
37,55.51881,41.67233
38,54.85147,45.07384
39,54.94924,45.43068
40,53.33151,43.12949
41,52.86115,43.3391
42,51.50966,43.27527
43,51.3122,43.69334
44,51.47665,43.66255
45,51.23048,43.71258
46,51.20623,43.65329
47,52.95546,43.76298
48,52.98911,43.77166
49,52.88212,43.81748
50,52.9231,43.80927
51,52.88641,43.80648
52,52.87465,43.81029
53,52.85697,43.8023
54,52.7247,43.82054
55,52.73217,43.82054
56,52.76238,43.82404
57,52.80268,43.82441
58,52.48744,43.82683
59,52.5259,43.83762
60,57.61326,45.54329
61,58.60203,45.77748
62,58.98655,45.9878
63,54.53042,43.57675
64,54.52356,43.82496
65,54.99734,43.48415
66,55.5549,44.2475
67,53.06143,42.4368
68,53.25661,42.54528
69,53.22983,42.58662
70,52.47666,45.09842
