Name,Id,Latitude,Longitude,Year,Spec,Type,Status,Condition,Auto_id
2018D-FC1,141659,51.555517,94.649265,2018,Buteo hemilasius,box,Occup,worth,1
2018D-FC10,141704,51.417019,94.663357,2018,Falco cherrug,box,Occup,worth,2
2018D-FC11,141705,51.228489,94.924258,2018,Falco tinnunculus,box,Occup,worth,3
2018D-FC12,141706,51.182925,94.879618,2018,Falco tinnunculus,box,Occup,worth,4
2018D-FC13,141707,51.188218,94.962964,2018,Falco tinnunculus,box,Occup,worth,5
2018D-FC14,141710,51.214788,94.977101,2018,Strix uralensis,box,Occup,worth,6
2018D-FC2,141668,51.53259,94.653825,2018,Falco tinnunculus,box,Occup,worth,7
2018D-FC3,141673,51.394815,94.59497,2018,Buteo hemilasius,box,Occup,worth,8
2018D-FC4,141686,51.51677,94.664916,2018,Falco tinnunculus,box,Occup,worth,9
2018D-FC5,141692,51.499789,94.683429,2018,Falco cherrug,box,Occup,worth,10
2018D-FC6,141693,51.513948,94.741826,2018,Falco cherrug,box,Occup,worth,11
2018D-FC7,141701,51.451966,94.860991,2018,Falco tinnunculus,box,Occup,worth,12
2018D-FC8,141702,51.360203,94.649093,2018,Falco cherrug,box,Occup,worth,13
2018D-FC9,141703,51.336528,94.646332,2018,Falco tinnunculus,box,Occup,worth,14
2019D-FC18,169446,51.449144,94.912254,2019,Falco tinnunculus,box,Occup,worth,15
2019D-FC25,169445,51.536256,94.464714,2019,Buteo hemilasius,box,Occup,worth,16
2019D-FC7,169447,51.288743,94.504133,2019,Falco tinnunculus,box,Occup,worth,17
2019D-FC8,169448,51.262645,94.519774,2019,Falco tinnunculus,box,Occup,worth,18
2019D-FC9,169449,51.235921,94.491758,2019,Falco tinnunculus,box,Occup,worth,19
2021-1,194942,51.19638,94.5927,2021,Falco tinnunculus,box,Occup,worth,20
2021-10,194964,51.34856,95.03694,2021,Falco cherrug,box,Occup,worth,21
2021-11,194958,51.31314,95.09566,2021,Falco tinnunculus,box,Occup,worth,22
2021-12,194966,51.37747,94.91635,2021,Falco tinnunculus,box,Occup,worth,23
2021-13,194965,51.33518,95.12589,2021,?,box,?,?,24
2021-14,194959,51.3189,95.14241,2021,?,box,?,?,25
2021-15,194960,51.28017,95.11111,2021, ,box,Empty,destr,26
2021-16,194956,51.27488,95.09759,2021, ,box,Empty,worth,27
